datetime,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,quality,Porosity,AI,date,MarkerSize
2019-05-23 01:34:31+00:00,5.38,1528.85,5.9,9.87,0,1,6.591809819,5.686338917,2019-05-23,9.039428969
2019-05-23 01:34:31.666667+00:00,0.59,1734.85,2.55,2.84,0,1,5.429895125,5.783106729,2019-05-23,7.329309117
2019-05-23 01:34:33+00:00,0.75,2041.85,0.77,0.47,0,1,6.830618682,5.503401455,2019-05-23,5.433137234
2019-05-23 01:34:34+00:00,1.53,1597.85,1.26,1.81,0,1,4.831689188,5.727635125,2019-05-23,6.144982209
2019-05-23 01:34:36+00:00,4.66,1514.85,3.5,6.03,0,1,5.19347875,5.5378105,2019-05-23,7.933137919
2019-05-23 01:34:36+00:00,0.93,1609.85,1.19,1.67,0,1,5.887312,5.430284333,2019-05-23,6.057797253
2019-05-23 01:34:36+00:00,5.83,1554.85,7.44,11.75,0,1,5.88098035,5.447389,2019-05-23,9.579023252
2019-05-23 01:34:36+00:00,0.85,1665.85,0.65,0.82,0,1,5.0898172,5.5381092,2019-05-23,5.207824408
2019-05-23 01:34:38+00:00,1.135,1532.35,2.44,4.07,0,1,6.598718833,5.24986225,2019-05-23,7.248955774
2019-05-23 01:34:40+00:00,0.8,1767.85,0.87,0.88,0,1,6.506449333,5.099712267,2019-05-23,5.60154471
2019-05-23 01:34:40+00:00,0.35,1531.85,0.38,0.63,0,1,6.489612,5.198967333,2019-05-23,4.55379937
2019-05-23 01:34:42+00:00,0.43,1638.85,0.41,0.54,0,1,7.118397,4.892310667,2019-05-23,4.641132398
2019-05-23 01:34:42+00:00,0.73,1602.85,0.66,0.93,0,1,4.336924333,5.355993,2019-05-23,5.22773997
2019-05-23 01:34:43+00:00,1.6,1642.85,2.09,2.74,0,1,5.6860878,4.9998779,2019-05-23,6.973720947
2019-05-23 01:34:44+00:00,4.61,1584.85,12.4,18.3,0,1,5.554106194,4.991933463,2019-05-23,10.88387173
2019-05-23 01:34:45+00:00,0.735,1857.35,1.12,1.04,0,1,8.008022526,4.553545013,2019-05-23,5.966676599
2019-05-23 01:34:45+00:00,0.87,1548.85,1.1,1.76,0,1,5.772883619,4.911379452,2019-05-23,5.939859397
2019-05-23 01:34:46+00:00,1.45,1545.85,3.83,6.22,0,1,5.614760375,4.878173188,2019-05-23,8.113863309
2019-05-23 01:34:47+00:00,0.68,1712.85,0.7,0.8,0,1,6.61366125,4.6548825,2019-05-23,5.305209072
2019-05-23 01:34:47+00:00,0.3,1593.85,0.37,0.54,0,1,5.962449083,4.812786229,2019-05-23,4.523539892
2019-05-23 01:34:47+00:00,16.04,1605.85,11.12,15.72,0,1,8.423633702,4.419108024,2019-05-23,10.59142
2019-05-23 01:34:49+00:00,5.74,1531.85,4.88,8.1,0,1,7.470822357,4.457927143,2019-05-23,8.620509783
2019-05-23 01:34:49+00:00,6.29,1575.85,4.94,7.45,0,1,7.828775244,4.403020795,2019-05-23,8.64688595
